,2020-04-20_2020-04-25,2020-04-27_2020-05-02,2020-05-04_2020-05-09,2020-05-11_2020-05-16,2020-05-18_2020-05-23,2020-05-25_2020-05-30,2020-06-01_2020-06-06,2020-06-08_2020-06-13,2020-06-15_2020-06-20,2020-06-22_2020-06-27,2020-06-29_2020-07-04,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03,2020-10-05_2020-10-10,2020-10-12_2020-10-17,2020-10-19_2020-10-24,2020-10-26_2020-10-31,2020-11-02_2020-11-07,2020-11-09_2020-11-14,2020-11-16_2020-11-21,2020-11-23_2020-11-28,2020-11-30_2020-12-05,2020-12-07_2020-12-12,2020-12-14_2020-12-19,2020-12-21_2020-12-26,2020-12-28_2021-01-02,2021-01-04_2021-01-09,2021-01-11_2021-01-16,2021-01-18_2021-01-23,2021-01-25_2021-01-30,2021-02-01_2021-02-06
num_states_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,6,,23,,,,
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,9,15,14,10,13,5,13,9,7,9,6,3,2,3,8,7,,5,6,11,7,14
num_states_beat_baseline-YYG-ParamSearch,22,20,15,34,26,29,34,29,29,36,30,29,38,36,32,11,27,31,23,19,31,26,25,30,32,,,,,,,,,,,,,,,,,
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,2,3,7,15,3,1,4,1,1,7,3,5,13,3,10,10,7,16,24,18,27,21,32,10,33,28,26,20,26,22,20,16,20,15
perc_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4705882353,0.4509803922,0.5098039216,0.4117647059,0.4117647059,0.4901960784,0.4117647059
perc_beat_baseline-Auquan-SEIR,,,,,0.07843137255,0.01960784314,0,0,0,0.3529411765,0.2352941176,0.4509803922,,,,0.07843137255,0.07843137255,0.07843137255,0.137254902,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,0.3921568627,0.3529411765,0.5294117647,0.431372549,0.431372549,0.568627451,0.8235294118,0.3529411765,0.8431372549,0.4705882353,0.4901960784,0.2549019608,0.5098039216,0.2549019608,0.1764705882,0.2156862745,0.5490196078,0.3725490196
perc_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,0.568627451,0.4901960784,0.431372549,0.431372549,0.3529411765,0.5098039216,0.4509803922,0.5490196078,0.5490196078,0.4901960784,0.568627451,0.5294117647,0.5098039216,0.5882352941,0.6078431373,0.3529411765,0.6666666667,0.5294117647,0.6274509804,0.3529411765,0.5490196078,0.5294117647,0.431372549,0.3529411765,0.4509803922,0.3137254902
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,0.5882352941,0.6078431373,0.3137254902,0.4509803922,0.5294117647,0.4117647059,0.5,0.387755102,0.5510204082,0.5306122449,0.612244898,0.5714285714,0.4705882353,0.5882352941,0.5098039216,0.3529411765,0.5098039216,0.568627451,0.4117647059,0.7647058824,0.5882352941,0.6274509804,0.3725490196,0.6274509804,0.568627451,0.3137254902,0.3725490196,0.431372549,0.3137254902
perc_beat_baseline-COVIDhub-ensemble,,0.5294117647,0.4509803922,0.4117647059,0.431372549,0.5294117647,0.4901960784,0.568627451,0.4509803922,0.5490196078,0.431372549,0.7254901961,0.6470588235,0.6666666667,0.6862745098,0.431372549,0.4901960784,0.6470588235,0.5294117647,0.568627451,0.568627451,0.5490196078,0.5882352941,0.6274509804,0.5098039216,0.5294117647,0.6862745098,0.5490196078,0.5294117647,0.6862745098,0.7647058824,0.4509803922,0.8823529412,0.6862745098,0.7450980392,0.3725490196,0.6470588235,0.5490196078,0.5294117647,0.5490196078,0.6078431373,0.5294117647
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5294117647
perc_beat_baseline-CU-select,0.24,0.3,0.34,0.3,0.28,0.36,0.32,0.3725490196,0.4509803922,0.2745098039,0.2941176471,0.2352941176,0.4901960784,0.4509803922,0.3921568627,0.2549019608,0.3333333333,0.3137254902,0.2549019608,0.3529411765,0.3529411765,0.3333333333,0.2745098039,0.3333333333,0.3333333333,0.3137254902,0.4705882353,0.3137254902,0.4705882353,0.3921568627,0.5490196078,0.3137254902,0.5294117647,0.4117647059,0.4705882353,0.3137254902,0.4509803922,0.2745098039,0.2549019608,0.2156862745,0.3333333333,0.2352941176
perc_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5098039216,0.6078431373,0.7254901961,0.4705882353,0.8431372549,0.5098039216,0.7647058824,0.4509803922,0.6470588235,0.4509803922,0.3529411765,0.4509803922,,0.3333333333
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,0.44,0.4117647059,0.5098039216,0.431372549,0.3725490196,0.431372549,0.6,0.4705882353,0.42,0.568627451,0.62,0.05882352941,0.01960784314,0.01960784314,0.5882352941,0.2549019608,0.5490196078,0.2941176471,,0.431372549,0.42,
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.1960784314,0.2156862745,0.2352941176,0.1960784314,0.3529411765,0.2745098039,0.2549019608,0.1960784314,0.2941176471,0.2745098039,0.1764705882,,0.1176470588,0.07843137255,0.3921568627,0.4117647059,0.4117647059,0.2549019608,0.1960784314,0.2156862745,0.07843137255,0.09803921569,0.3529411765,0.4705882353,0.3137254902,,0.2156862745,0.4901960784,0.01960784314,0.05882352941,0.2156862745,0.2745098039,0.09803921569,0.03921568627,0.1176470588,0.1764705882,0.137254902
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,0.2549019608,0.1960784314,0.2549019608,0.1627906977,,0.2549019608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,,0.3725490196,0.2549019608,0.1764705882,0.3137254902,0.431372549,0.5294117647,0.3725490196,0.3921568627,0.431372549,0.3137254902,0.3137254902,0.431372549,0.5882352941,0.4509803922,0.3137254902,0.3921568627,0.2941176471,0.431372549,0.4705882353,0.4901960784,0.3921568627,0.431372549,0.3921568627,0.3333333333,0.431372549,0.3333333333,0.3333333333,0.3921568627,0.4509803922,0.5294117647,0.2941176471,0.7254901961,0.2941176471,0.3921568627,0.4509803922,0.4705882353,0.3921568627,0.3529411765,0.1568627451,0.4705882353,0.3529411765
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,0.568627451,0.2745098039,0.2941176471,0.5294117647,0.4117647059,0.3921568627,0.4117647059,0.5294117647,0.5098039216,0.4901960784,0.3725490196,0.4117647059,0.6666666667,0.3921568627,0.4901960784,0.568627451,0.568627451,0.3333333333,0.5490196078,0.5882352941,0.4117647059,0.3137254902,0.431372549,0.3333333333,0.3921568627,0.1960784314,0.2352941176,0.431372549
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-GT-DeepCOVID,,,0.1489361702,0.2380952381,0.44,0.4333333333,0.3428571429,0.2424242424,0.4054054054,0.45,0.325,0.0487804878,0.4130434783,0.5111111111,0.5454545455,0.1627906977,0.4318181818,0.3913043478,0.375,0.4255319149,0.5,0.4489795918,0.4090909091,0.4666666667,0.4782608696,0.4693877551,0.5625,0.4565217391,0.5,0.6,0.6136363636,0.2708333333,0.7551020408,0.62,0.62,0.44,0.54,0.5510204082,0.4,0.62,0.4,0.4791666667
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,1,1,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,0.2941176471,,,,0.4901960784,0.5490196078,0.568627451,0.6274509804,0.1960784314,0.4509803922,0.431372549,0.3529411765,0.3137254902,0.3529411765,0.5490196078,0.431372549,0.4509803922,0.5294117647,0.4117647059,0.4705882353,0.431372549,0.431372549,0.4117647059,0.6078431373,0.3333333333,0.7450980392,0.4705882353,0.4705882353,0.3137254902,0.3529411765,0.431372549,0.3921568627,0.3529411765,0.2941176471,0.3137254902
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,0.2549019608,0.2352941176,0.4509803922,0.431372549,0.3529411765,0.2745098039,0.4509803922,0.2549019608,0.2941176471,0.6470588235,0.4117647059,0.5098039216,0.568627451,0.7058823529,0.3333333333,0.8431372549,0.4509803922,0.5882352941,0.3921568627,0.568627451,0.5490196078,0.4705882353,0.4509803922,0.4117647059,0.3529411765
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,0.4117647059,0.2745098039,0.2941176471,0.3725490196,0.3529411765,,0.2941176471,0.3333333333,0.2745098039,0.3333333333,0.3725490196,0.431372549,,0.2352941176,0.3137254902,0.1764705882,0.2549019608,,0.3137254902,0.3529411765,0.3333333333,,0.1568627451,0.2549019608,,,0.3333333333,0.1764705882,,,,0.2745098039,,0.2941176471,0.1568627451,0.2745098039,0.2549019608,,,0.1568627451,0.2745098039,0.1568627451
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,0.4489795918,0.4489795918,0.5306122449,0.4693877551,0.4693877551,0.4285714286,,0.3673469388,0.4489795918,0.4693877551,0.4897959184,0.3673469388,0.3265306122,,,,,,,,,
perc_beat_baseline-Imperial-ensemble1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Imperial-ensemble2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IowaStateLW-STEM,,0.387755102,0.3673469388,,0.2244897959,0.2857142857,0.2653061224,0.3265306122,0.2448979592,0.2857142857,0.2653061224,0.3469387755,0.3673469388,0.2448979592,0.2653061224,0.2040816327,,0.2857142857,0.2448979592,0.3469387755,0.4081632653,0.2857142857,0.2653061224,0.387755102,0.3673469388,0.3469387755,0.4489795918,0.306122449,0.4081632653,0.4285714286,0.612244898,0.2857142857,0.8367346939,0.5102040816,0.4081632653,0.1632653061,0.2653061224,0.5102040816,0.306122449,0.3673469388,0.3469387755,0.2040816327
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,0.6274509804,0.3137254902,0.3529411765,0.4509803922,0.6470588235,0.4705882353,0.4705882353,0.5882352941,0.5882352941,0.6274509804,0.3725490196,0.4509803922,0.6078431373,0.431372549,0.5294117647,0.6078431373,0.6862745098,0.431372549,0.7647058824,0.6078431373,0.6666666667,0.2549019608,0.4901960784,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,0.1960784314,0.3137254902,0.1960784314,0.3137254902,0.2549019608,0.2745098039,0.2745098039,0.4509803922,0.2549019608,0.3333333333,0.4901960784,0.5098039216,0.2156862745,0.6274509804,0.4901960784,0.3725490196,0.3529411765,0.2745098039,0.2549019608,0.1764705882,,0.2156862745,0.137254902
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,0.4705882353,0.4705882353,0.4117647059,0.5098039216,0.5882352941,0.2745098039,0.862745098,0.5098039216,0.4901960784,0.2941176471,0.568627451,,0.52,0.4693877551,0.5294117647,0.2549019608
perc_beat_baseline-JHU_IDD-CovidSP,,,,,0.05882352941,0.1960784314,0.137254902,0.1568627451,0.3333333333,0.2352941176,0.1960784314,0.431372549,0.4117647059,0.3921568627,0.3921568627,0.137254902,0.137254902,0.2549019608,0.2352941176,0.3137254902,0.3725490196,0.3333333333,0.3921568627,0.4117647059,0.3921568627,0.3529411765,0.4117647059,0.2156862745,0.1764705882,0.1764705882,0.5294117647,0.2941176471,0.5490196078,0.1960784314,0.2745098039,0.2549019608,0.3921568627,0.3137254902,0.2941176471,0.3333333333,0.3137254902,0.2352941176
perc_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333,0.3333333333,0.3529411765,,,,,,,,,,,,
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,0.4705882353,0.4509803922,0.3725490196,0.3333333333,0.3529411765,0.5294117647,0.5098039216,0.4509803922,0.4705882353,0.5882352941,0.568627451,0.4705882353,0.4509803922,0.6078431373,0.568627451,0.5490196078,0.6470588235,0.7450980392,0.3333333333,0.862745098,0.6078431373,0.6862745098,0.2745098039,0.6078431373,0.5490196078,0.5490196078,0.4117647059,0.4901960784,0.4705882353
perc_beat_baseline-LANL-GrowthRate,0.3529411765,0.3333333333,0.4901960784,0.4117647059,0.5098039216,0.5294117647,0.5294117647,0.4509803922,0.4117647059,0.4117647059,0.3725490196,0.5882352941,0.4509803922,0.4509803922,0.3333333333,0.1960784314,0.3725490196,0.3137254902,0.2941176471,0.2941176471,0.4509803922,0.4509803922,0.431372549,0.5098039216,0.3921568627,0.3921568627,0.4117647059,0.431372549,0.4509803922,0.6078431373,0.6470588235,0.4901960784,0.6666666667,0.5490196078,0.6862745098,0.3725490196,0.3333333333,0.4117647059,0.431372549,0.431372549,0.568627451,0.3333333333
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,0.6862745098,0.4705882353,0.4901960784,0.3529411765,0.4509803922,0.3725490196,0.4901960784,0.6666666667,0.3333333333,0.5490196078,0.5294117647,0.6078431373,0.5098039216,0.6666666667,0.5490196078,0.5882352941,0.6274509804,0.8039215686,0.3137254902,0.6470588235,0.568627451,0.7058823529,0.4117647059,0.3725490196,0.3333333333,0.568627451,0.5294117647,0.5882352941,0.4901960784
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.09803921569,0.1960784314,0.1176470588,0.3137254902,0.2941176471,0.137254902,,0.1176470588,,,0.431372549,0.3725490196,0.3725490196,0.431372549,,,0.4509803922,,,,,,,,,,,0.3333333333,0.2549019608,,,
perc_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,0.2156862745,0.3529411765,0.3529411765,0.3333333333,0.4705882353,0.3137254902,0.5490196078,0.3529411765,0.4705882353,0.3921568627,0.5490196078,0.3529411765,0.7647058824,0.5490196078,0.5490196078,0.1764705882,0.6078431373,0.3921568627,0.5294117647,0.3137254902,0.3725490196,0.2352941176
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,0.487804878,0.4090909091
perc_beat_baseline-MOBS-GLEAM_COVID,0.1136363636,0.375,0.4,0.24,0.38,0.38,0.56,0.42,0.34,0.38,0.22,0.46,0.5,0.6,0.5,0.4,0.32,0.32,0.3,0.42,0.52,0.3,0.46,0.42,0.4,0.28,0.48,0.6,0.52,0.54,0.7,0.38,0.86,0.58,0.54,0.36,0.64,0.62,0.5,0.34,0.5,0.36
perc_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.6170212766,0.6170212766,0.5957446809,0.6808510638,0.78,0.3,0.86,0.6,,,,,,,,
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.44,0.1,0.64,0.68,0.44,0.38,0.52,0.48
perc_beat_baseline-NotreDame-FRED,,,0.1428571429,0.1428571429,0,0.1428571429,0.1428571429,0.2857142857,0,0,0,0.2857142857,0.1428571429,0.1428571429,0.4285714286,0.1428571429,0.4285714286,0.1428571429,0.5714285714,0.1428571429,0,0.2857142857,0.1428571429,0.4285714286,0,0.4285714286,0.8571428571,0.1428571429,0.2857142857,0.4285714286,0.4285714286,0,,0,0.1428571429,,,,,,,
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.3725490196,0.3137254902,0.4705882353,0.4705882353,0.2745098039,0.2352941176,0.05882352941,0.1960784314,0.3137254902,0.4117647059,0.3529411765,0.3921568627,0.1960784314,0.4509803922,0.3137254902,0.4901960784,0.3137254902,0.431372549,0.3137254902,0.3333333333,0.3529411765,0.3725490196,0.1176470588,0.431372549,0.1960784314,0.2745098039,,,,,,,
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,0.5106382979,0.5882352941,0.431372549,0.3921568627,0.7058823529,0.568627451,0.6274509804,0.7058823529,0.4117647059,0.4901960784,0.6274509804,0.4705882353,0.431372549,0.4509803922,0.5294117647,0.5294117647,0.6078431373,0.5294117647,0.4901960784,0.7058823529,0.6862745098,0.5098039216,0.6274509804,0.862745098,0.3333333333,0.8431372549,0.6274509804,0.5294117647,0.3137254902,0.5882352941,0.6078431373,0.5490196078,0.431372549,0.4509803922,0.6078431373
perc_beat_baseline-PSI-DRAFT,,,,,0.3137254902,0.2941176471,0.3921568627,0.07843137255,0.3725490196,0.3333333333,0.3921568627,0.2549019608,0.2549019608,0.44,0.3333333333,0.2941176471,0.3529411765,0.2156862745,0.3921568627,0.3725490196,0.2941176471,0.3333333333,0.5098039216,0.4117647059,0.2745098039,0.3137254902,0.431372549,0.3529411765,0.2745098039,0.3529411765,0.5294117647,0.1960784314,0.4509803922,0.3333333333,0.4509803922,0.2352941176,0.5294117647,0.4705882353,0.3333333333,0.2941176471,0.3725490196,0.2352941176
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Quantori-Multiagents,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,0.4375,0.28125,0.34375,0.3333333333,0.3,0.5483870968,0.4193548387,0.4,0.3548387097,0.2580645161,0.4516129032,0.2580645161,0.3333333333,0.3,0.4,0.2333333333,0.7666666667,0.4516129032,0.3870967742,0.4333333333,0.4666666667,0.1333333333,0.3225806452,0.1612903226,0.3548387097,0.3333333333
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,0.3725490196,0.2549019608,0.02040816327,0.2448979592,0.2448979592,0.3,0.2,0.2549019608,0.2941176471,0.4117647059,0.2352941176,0.2941176471,0.1764705882,0.2549019608,0.1960784314,0.4705882353,0.1176470588,0.1176470588,0.4117647059,0.5882352941,0.12,0.3137254902,0.46,0.5882352941,0.4705882353,0.2549019608,0.1764705882,0.38,0.3921568627,0.3333333333,0.5098039216
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,,0,0,0.5,0,0,,,,,,,,,,,,,
perc_beat_baseline-SWC-TerminusCM,,,,,,0.175,0.3125,0.2340425532,0.3921568627,,0.2916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2941176471
perc_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,0.4117647059,0.4901960784,0.6078431373,0.431372549,0.5098039216,0.5294117647,0.4509803922,0.5098039216,0.7058823529,0.5882352941,0.5490196078,0.5490196078,0.6862745098,0.3725490196,0.7450980392,0.2745098039,0.6274509804,0.431372549,0.4705882353,0.4705882353,0.4705882353,0.4509803922,0.4705882353,0.4509803922
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,0,0.1176470588,,,0.1176470588,,0.09803921569,0.05882352941,0.07843137255,0.07843137255,0.1568627451,0.1960784314,0.2156862745,0.1568627451,0.1568627451,0.2549019608,0.1960784314,0.2352941176,0.2156862745,0.1960784314,0.2745098039,0.07843137255,0.137254902,0.07843137255,0.137254902
perc_beat_baseline-UA-EpiCovDA,,,,,,0.2352941176,0.2745098039,0.2156862745,0.4509803922,0.4901960784,0.4509803922,0.3725490196,0.4901960784,0.5490196078,0.6470588235,0.3725490196,0.3137254902,0.4705882353,0.3137254902,0.3725490196,0.5098039216,0.4705882353,0.3725490196,0.4705882353,0.4901960784,0.3725490196,0.4901960784,0.5490196078,0.4117647059,0.4705882353,0.6666666667,0.2745098039,0.4705882353,0.3137254902,0.4901960784,0.6666666667,0.1764705882,0.2549019608,0.3137254902,0.3529411765,0.3725490196,0.2352941176
perc_beat_baseline-UCLA-SuEIR,,,0.1960784314,0.3529411765,0.5098039216,0.431372549,0.4901960784,0.568627451,0.5490196078,0.4509803922,0.431372549,0.5098039216,0.6274509804,0.6274509804,0.6470588235,0.4117647059,0.4901960784,0.4509803922,0.431372549,0.4509803922,0.3333333333,0.5490196078,0.4117647059,0.5294117647,0.5098039216,0.3725490196,0.5490196078,0.4901960784,0.5098039216,0.4901960784,0.4901960784,0.3333333333,0.431372549,0.5294117647,0.568627451,0.4901960784,0.4705882353,0.4705882353,0.4117647059,0.4509803922,0.4705882353,0.4705882353
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,,,,,,
perc_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3137254902,0.4901960784,0.4509803922,0.6078431373,0.1568627451,0.7843137255,0.3725490196,0.4509803922,0.4705882353,0.4901960784,0.3137254902,0.2745098039,0.1176470588,0.3333333333,
perc_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,0.36,0.36,0.36,0.44,0.34,0.28,0.52,0.52,0.5,0.58,0.72,0.32,0.88,0.62,0.48,0.24,0.42,0.6,0.42,0.32,0.46,0.32
perc_beat_baseline-UChicago-CovidIL,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_100,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_10_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_30_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_40,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_60,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_80,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5490196078,0.6862745098,0.2941176471,0.5098039216,0.568627451,0.6666666667,0.431372549,,0.5882352941,0.3921568627,0.568627451,0.431372549,0.5098039216
perc_beat_baseline-UMass-MechBayes,,0.2352941176,0.3333333333,0.3725490196,0.6078431373,0.5490196078,0.5490196078,0.5490196078,0.6274509804,0.431372549,0.5294117647,0.7058823529,0.7450980392,0.7254901961,0.4901960784,0.3725490196,0.4509803922,0.3725490196,0.3529411765,0.3921568627,0.6862745098,0.5490196078,0.5490196078,0.5882352941,0.4705882353,0.5882352941,0.7058823529,0.4901960784,0.5490196078,0.5882352941,0.862745098,0.5882352941,0.7058823529,0.431372549,0.6078431373,0.6470588235,0.6078431373,0.4117647059,0.4509803922,0.431372549,0.5882352941,0.431372549
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,0.3428571429,0.2857142857,0.2666666667,0.2826086957,0.358974359,0.175,0.3023255814,0.4081632653,0.387755102,0.32,0.38,0.38,0.36,0.48,0.36,0.36,0.4,0.5,0.38,0.5,0.3333333333,0.3333333333,0.28,0.5,0.5,0.38,0.34,0.38,0.28
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.4117647059,0.3333333333,0.2156862745,0.1568627451,0.1960784314,0.09803921569,0.07843137255,0.4901960784,0.4509803922,0.431372549,0.4705882353,0.2352941176,0.2156862745,0.2941176471,0.2352941176,0.3529411765,0.3137254902,0.3725490196,0.3529411765,0.3333333333,,0.1960784314,,0.3921568627,,,0.3921568627,0.1176470588,0.4117647059,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.3725490196,0.6470588235,0.3333333333,0.6078431373,0.4901960784,0.2549019608,0.5490196078,0.5098039216,0.3921568627,0.5294117647,0.431372549,0.4509803922,0.4901960784,0.5294117647,0.6078431373,0.568627451,0.6470588235,0.6078431373,0.5490196078,0.6666666667,0.7450980392,0.3137254902,0.862745098,0.3333333333,0.6470588235,0.2156862745,0.5294117647,0.2745098039,0.2745098039,0.3529411765,0.4901960784,0.4509803922
perc_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4705882353,0.5294117647,,,,,,,,,,,,
perc_beat_baseline-UT-Mobility,0.4117647059,0.3725490196,0.4901960784,0.3921568627,0.5294117647,0.3725490196,0.5294117647,0.3921568627,0.3529411765,0.431372549,0.431372549,0.5882352941,0.568627451,0.5294117647,0.5098039216,0.2745098039,,0.3725490196,0.4705882353,,,0.4705882353,0.3529411765,0.3137254902,0.3137254902,0.4901960784,0.4509803922,0.3921568627,0.4705882353,0.4509803922,0.5294117647,0.4509803922,0.568627451,0.3921568627,0.4705882353,0.2745098039,,,0.4117647059,,0.5098039216,
perc_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3111111111,0.3555555556,0.1363636364,,0.5227272727,,,,
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,0.1764705882,0.2941176471,0.2745098039,0.1960784314,0.2549019608,0.09803921569,0.2549019608,0.1764705882,0.137254902,0.1764705882,0.1176470588,0.05882352941,0.03921568627,0.05882352941,0.1568627451,0.137254902,,0.09803921569,0.1176470588,0.2156862745,0.137254902,0.2745098039
perc_beat_baseline-YYG-ParamSearch,0.431372549,0.3921568627,0.2941176471,0.6666666667,0.5098039216,0.568627451,0.6666666667,0.568627451,0.568627451,0.7058823529,0.5882352941,0.568627451,0.7450980392,0.7058823529,0.6274509804,0.2156862745,0.5294117647,0.6078431373,0.4509803922,0.3725490196,0.6078431373,0.5098039216,0.4901960784,0.5882352941,0.6274509804,,,,,,,,,,,,,,,,,
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,0.1333333333,0.2142857143,0.5,0.6818181818,0.1304347826,0.04347826087,0.1739130435,0.03448275862,0.03703703704,0.1555555556,0.0625,0.1086956522,0.2826086957,0.0652173913,0.2272727273,0.2127659574,0.1489361702,0.3404255319,0.5217391304,0.4285714286,0.5625,0.4468085106,0.6666666667,0.2127659574,0.66,0.56,0.5098039216,0.3921568627,0.5098039216,0.4489795918,0.3921568627,0.3137254902,0.3921568627,0.2941176471
mean_abs_error-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.18431373,90.44901961,86.5372549,91.93921569,91.8,79.09019608,107.6392157
mean_abs_error-Auquan-SEIR,,,,,143.7647059,266.3529412,281.2941176,287.1372549,323.6078431,46.01960784,49.70588235,62.62745098,,,,81.80392157,85.01960784,100.254902,108.745098,,,,,,,,,,,,,,,,,,,,,,,
